"marker","129S1/SvImJ","A/J","C57BL/6J","CAST/EiJ","NOD/ShiLtJ","NZO/HILtJ","PWK/PhJ","WSB/EiJ"
"backupUNC181065558",0.2045,0.127,0.106,0.2185,0.196,1.0775,1.037,1.067
"backupUNC181069094",0.027,0.029,0.019,0.028,0.023,1.04,1.154,1.089
"backupUNC181089182",0.003,0.0045,0.003,0.004,0,0.845,0.729,0.914
"backupUNC190011440",0.138,1.3245,1.319,1.365,1.416,0.118,0.149,0.129
"backupUNC190015857",1.14,0,0.002,0,0.979,0,0,1.123
"backupUNC190020296",0.8655,0.909,0.013,0.017,0.823,1.2825,1.3205,0.009
"backupUNC190023474",0.0095,0.0195,0.973,0.9915,0.956,0.0195,1.0385,0.901
"backupUNC190026579",1.0255,1.125,0.022,0.022,0.01,1.1435,1.121,1.131
"backupUNC190034651",0.014,0.627,0.574,0.011,0.571,0.6065,0.0085,0.016
"backupUNC190040805",0.3815,0.0815,0.098,0.369,0.087,0.1085,0.334,0.071
"backupUNC190042442",0.0895,0.094,1.177,0.0445,0.104,0.1035,0.1005,1.17
"backupUNC190052983",0.9095,0.9325,0.013,1.1785,0.849,0.022,0.0175,0.013
"backupUNC190084318",0.783,0.7515,0,0.7045,0,0.001,0.7275,0.837
"backupUNC190088500",1.0195,0.9655,0.034,0.9855,0.974,0.0315,0.0215,0.027
"backupUNC190091032",0.618,0.6295,0.007,0.01,0.53,0.5795,0.0085,0.572
"backupUNC190099769",0.0375,0.0445,0.882,0.037,1.228,1.005,1.188,0.958
"backupUNC190108448",0.0055,0.002,1.267,0.0015,0.008,0.0125,0.0085,0.004
"backupUNC190115512",0.036,0.033,0.69,0.0355,0.03,0.7235,0.7615,0.027
"backupUNC190125682",0.887,0.842,0.03,0.8685,0.831,0.8,0.028,0.741
"backupUNC190139992",0.944,0.0415,0.936,0.05,0.028,1.0355,0.007,0.044
"backupUNC190140806",0.966,0.0105,0.969,0.0535,0.057,0.9965,1.1135,1.005
"backupUNC190142062",1.4435,1.483,1.389,1.5495,1.822,1.379,1.4475,1.457
"backupUNC190142636",0.6115,0.0275,0.565,0.03,0.464,0.578,0.0255,0.02
"backupUNC190150199",0.0245,0.9495,0.029,0.9895,0.876,0.027,0.0215,0.945
"backupUNC190151809",0.9445,0.0325,0.891,0.034,0.026,0.8015,0.035,0.025
"backupUNC190160608",1.1375,0.0545,1.257,1.2265,0.054,0.058,1.3235,1.242
"backupUNC190169111",0.3585,0.0125,0.298,0.0115,0.206,0.278,0.0125,0.313
"backupUNC190174193",0.629,0.0205,0.556,0.021,0.534,0.0245,0.576,0.562
"backupUNC190181624",0.001,1.256,0,1.234,0,0.0025,1.2975,0.001
"backupUNC190188354",0.0155,0.012,0.01,1.2365,1.073,0.015,1.278,0.009
"backupUNC190204157",0.0055,0.0045,0,1.0935,0.892,0,0.0045,1.162
"backupUNC190212525",0.001,0,0,1.002,0.915,0,1.092,0.002
"backupUNC190238128",0.766,0.815,0.849,0.0485,0.63,0.847,0.0505,0.036
"backupUNC190261546",0.008,0.01,0.011,1.293,0.006,1.1945,0.011,1.178
"backupUNC190264320",1.228,1.223,1.199,0.0645,0.079,1.2055,0.0655,0.044
"backupUNC190295022",0.6475,0.639,0.712,0.0215,0.412,0.6895,0.017,0.021
"backupUNC190661115",1.3,1.345,1.323,1.394,0.032,0.03,0.029,0.043
"backupUNC200002128",0.868,1.219,1.098,0.772,1.552,1.212,0.9315,0.795
"backupUNC200004813",1.249,0.0295,0.026,0.035,0.038,1.12,0.47,1.046
"backupUNC200007909",0.0035,0.5985,0.507,0.005,0.585,0.627,0.007,0.003
"backupUNC200008026",0.013,0.9175,0.806,0.015,0.912,0.949,0.014,0.01
"backupUNC200010273",1.43,1.279,0.098,0.155,1.521,1.3655,0.1175,1.207
"backupUNC200010787",1.231,1.267,1.195,1.2835,1.681,1.258,1.2415,1.208
"backupUNC200011184",0.0015,0.004,0.422,0.0035,0.006,0.003,0.001,0.363
"backupUNC200011470",0.806,0.796,0.014,0.0145,0.749,0.024,0.0125,0.011
"backupUNC200012354",0.0165,0.012,0.808,0.0075,0.725,0.8275,0.013,0.804
"backupUNC200012541",1.294,0.049,0.028,1.492,1.559,0.048,0.0535,0.03
"backupUNC200013645",0.0365,1.066,0.868,0.044,0.049,1.07,0.029,0.031
"backupUNC200017097",0.823,0.8185,0.082,0.039,0.778,0.8495,0.072,0.722
"backupUNC200026178",0.1255,0.125,0.798,0.0265,1.032,0.885,0.137,0.71
"backupUNC200029276",0.2045,0.1925,1.083,1.305,0.257,0.179,0.1985,0.137
"backupUNC200032490",0.6975,0.6535,0.329,0.4235,0.674,0.6465,0.661,0.344
"backupUNC200033252",0.0085,0.0245,0.441,0.0065,0.018,0.0055,0.0295,0.004
"backupUNC200041972",0.0075,0.0075,0.821,0.013,0.003,0.0105,0.9185,0.799
"backupUNC200045123",0.403,0.39,0.001,0.346,0.299,0.4025,0.3245,0.008
"backupUNC200067984",0.949,0.206,0.144,1.133,0.225,0.9735,0.1105,0.796
"backupUNC200092333",0,0.509,0,0.4135,0.001,0.0015,0.4135,0.447
"backupUNC200093060",0.877,0.04,0.696,0.7475,0.89,0.8055,0.0275,0.022
"backupUNC200093900",0.617,0.002,0.532,0.005,0.57,0.007,0.006,0.006
"backupUNC200095716",0.0045,0.4815,0,0.446,0.005,0.5125,0.6375,0.431
"backupUNC200098152",1.103,0.024,1.021,1.1485,0.017,0.0145,1.08,0.013
"backupUNC200099119",1.2035,0.3755,1.169,0.3915,0.654,1.229,0.373,0.397
"backupUNC200099374",0.06,1.4765,0.038,1.6335,1.934,0.063,1.5035,1.371
"backupUNC200102751",0.4305,5e-04,0.394,0.0015,0.313,0.002,0,0.004
"backupUNC200103150",1.1875,0.0945,0.991,0.101,1.386,0.106,0.0975,0.075
"backupUNC200105073",0.951,0.028,0.9,0.021,0.95,0.959,0.021,0.021
"backupUNC200105516",0.703,0.007,0.647,0.0085,0.526,0.669,0.009,0.636
"backupUNC200109114",5e-04,0.102,0.003,0.0775,0.001,0.011,0.075,0.072
"backupUNC200110891",0.741,0.7085,0.612,0.888,0.937,0.6775,0.7085,0.67
"backupUNC200111260",0.231,1.0125,0.195,1.0705,1.274,1.0235,0.8005,0.842
"backupUNC200111583",0.0865,1.0355,0.068,0.063,0.974,0.09,0.061,0.886
"backupUNC200112735",0.062,0.981,0.064,1.055,0.102,1.0535,1.0125,0.92
"backupUNC200112872",0.016,0.658,0.02,0.017,0.011,0.685,0.613,0.015
"backupUNC200114004",0.0115,0.292,0.018,0.2225,0.019,0.024,0.276,0.014
"backupUNC200153103",0.9755,0.024,0.862,0.9465,0.996,0.949,0.026,0.014
"backupUNC200169665",0.002,0.48,0,0.3695,0,0.004,0.0045,0.424
"backupUNC200185021",0.467,0.0145,0.398,0.0275,0.511,0.4695,0.0165,0.022
"backupUNC200189557",0,0.3985,0.002,0.4145,0,0.0025,0.4095,0.003
"backupUNC200195198",1.067,0.0045,0.844,0.007,1.253,1.022,0.007,0.969
"backupUNC200198763",0.3525,0.0195,0.386,0.002,0.271,0.003,0.007,0.352
"backupUNC200199758",0.0475,1.011,0.029,0.044,0.973,0.041,1.032,0.033
"backupUNC200199933",0.501,0.0315,0.371,0.014,0.461,0.4555,0.015,0.024
"backupUNC200204428",0.0665,1.1145,0.061,0.081,1.282,0.073,0.8615,0.92
"backupUNC200205394",0.002,0.5635,0,0.511,0.457,0.52,0.001,0.491
"backupUNC200217389",0.0155,0.017,0.007,1.36,0.016,1.2745,1.2355,1.169
"backupUNC200218095",0.039,0.036,0.035,0.297,0.276,0.331,0.2885,0.267
"backupUNC200218490",0.9765,1.053,0.912,0.7245,0.7,0.7,0.729,0.621
"backupUNC200223037",0.722,0.725,0.687,0.023,0.62,0.7415,0.0215,0.016
"backupUNC200229256",0.332,0.996,0.235,0.8275,1.259,1.0375,0.9875,0.189
"backupUNC200243544",0.001,0.0025,0.006,0.5055,0.011,0.006,0.4805,0.369
"backupUNC200246213",1.1955,1.198,1.089,0.177,0.203,1.1735,1.264,0.141
"backupUNC200249354",0.5375,0.5805,0.618,0.465,0.399,0.0105,0.011,0.003
"backupUNC200287049",0.7845,0.8335,0.687,0.0195,0.022,0.7965,0.0195,0.733
"backupUNC200310334",1.0085,0.9505,0.761,0.0015,1.11,0.956,0.0025,0
"backupUNC200316908",1.098,1.13,0.948,0.024,1.311,1.164,0.0215,0.016
"backupUNC200355425",1.0725,1.016,0.904,0.0505,1.144,1.0265,0.053,0.038
"backupUNC200381363",0.5675,0.596,0.475,0,0.588,0.552,0,0.007
"backupUNC200383023",1.115,1.0895,0.988,0.013,1.153,1.0765,0.0105,0.011
"backupUNC200387638",0.7685,0.7325,0.655,0.01,0.716,0.7645,0.01,0.01
"backupUNC200388541",1.072,1.042,0.923,0.0545,1.251,1.009,0.0395,0.048
"backupUNC200388916",0.0105,0.009,0.009,0.566,0.015,0.007,0.527,0.563
"backupUNC200391017",1.1465,1.14,1.035,0.018,1.629,0.0115,0.0145,0.951
"backupUNC200391881",0.0015,0.0115,0.011,0.878,0.006,0.8395,0.913,0.003
"backupUNC200393064",1.3505,1.2675,1.13,0.6495,1.476,0.5915,0.0765,0.522
"backupUNC200418225",0.7975,0.8165,0.721,1.115,0.901,0.772,1.291,0.986
"backupUNC200583887",0.011,0.011,0.005,0.073,0.062,0.087,0.0695,0.085
"backupUNC200586059",0.037,0.029,0.025,0.7075,0.026,0.033,0.7565,0.719
"backupUNC200609379",0.704,0.748,0.536,0.0365,0.902,0.734,0.031,0.023
"backupUNC200614817",0.001,0.0105,0.002,0.637,0.01,0.015,0.6615,0.607
"backupUNC200618095",0.6085,0.531,0.43,0.0035,0.588,0.491,0.004,0.001
"backupUNC200644933",0.006,0.0045,0,0.587,0,0.555,0.007,0.468
"backupUNC200687147",0.0215,0.032,0.015,0.975,0.035,0.0215,1.004,0.807
"backupUNC200687966",0.4145,0.418,0.417,0.0055,0.286,0.4575,0.007,0.008
"backupUNC200692256",1.2315,1.2155,1.088,0.021,1.337,0.0245,0.0205,1.084
"backupUNC200714769",0.744,0.712,0.601,0.0925,0.649,0.6915,0.08,0.064
"backupUNC200759367",0.6965,0.676,0.605,0.0115,0.693,0.705,0.005,0.002
"backupUNC200838158",0.05,0.0455,0.035,1.392,1.515,1.3165,1.4055,0.028
"backupUNC200883125",0.646,0.6105,0.66,0.4905,0.016,0.0155,0.4305,0.019
"backupUNC200889296",0.022,0.0175,0.006,0.018,1.102,1.0495,0.0125,0.959
"JAX00000461",0.078,0.0665,0.55,0.5925,0.073,0.053,0.493,0.047
"JAX00000747",1.045,1.077,0.012,0.0445,1.077,0.015,0.0345,0.036
"JAX00000824",0.072,1.4305,1.296,0.0715,1.69,1.4505,0.059,1.378
"JAX00000980",0.628,0.063,0.601,0.029,0.045,0.0535,0.036,0.615
"JAX00001157",0.003,0.0025,0.008,0.778,0.006,0.892,0.79,0.936
"JAX00001223",0.6485,0.636,0.626,0.1655,0.519,0.6065,0.1805,0.145
"JAX00001283",0.1155,1.274,0.104,0.045,1.218,0.123,1.3925,0.109
"JAX00001692",0.0875,0.997,1.033,0.1065,0.932,0.092,0.0935,1.02
"JAX00002267",0.8965,0.0565,1.015,0.069,0.051,0.073,0.011,0.068
"JAX00002710",0.9745,0.057,0.06,1.008,0.924,0.9825,0.0305,0.037
"JAX00002972",0.7705,0.861,0.772,0.1215,0.868,0.8525,0.115,0.026
"JAX00003040",1.108,1.135,0.083,1.203,0.074,0.085,1.2075,1.105
"JAX00003394",0.2545,0.7515,0.069,0.102,0.565,0.729,0.0555,0.032
"JAX00003707",0.847,0.913,0.911,0.8505,0.008,0.823,0.011,0.882
"JAX00003792",0.6235,0.6565,0.653,1.083,0.99,1.086,1.1155,0.683
"JAX00003808",1.197,1.1495,1.1,1.2335,1.314,0.04,1.2385,1.067
"JAX00003976",0.017,0.011,0.018,0.7875,0.014,0.7035,0.669,0.706
"JAX00005015",0.044,0.051,0.59,0.421,0.063,0.053,0.041,0.065
"JAX00005062",1.304,1.319,1.327,1.437,1.421,1.3505,1.419,0.026
"JAX00005772",0.064,0.06,1.213,0.081,1.286,1.2315,0.0425,1.152
"JAX00005951",0.144,0.1465,0.052,1.324,0.175,0.1345,1.322,1.246
"JAX00005952",1.05,0.981,0.976,0.033,0.954,1.01,0.0295,0.985
"JAX00005967",0.0545,0.057,0.035,0.024,1.133,0.0835,1.1315,1.003
"JAX00006066",0.3775,0.3755,0.391,1.217,1.322,0.3645,1.244,0.436
"JAX00006720",1.0915,1.083,0.321,0.316,1.031,0.3375,0.316,0.292
"JAX00006950",0.5195,0.0065,0.01,0.007,0.296,0.005,0.0075,0.006
"JAX00007674",0.953,0.0625,0.056,0.064,0.937,0.0705,0.0705,0.958
"JAX00007883",1.1025,0.027,0.02,0.975,1.035,0.0265,1.007,0.027
"JAX00008061",0.027,0.0295,0.562,0.0375,0.244,0.0645,0.4175,0.575
"JAX00008339",0.032,0.0315,0.029,0.83,0.024,0.033,0.8435,0.85
"JAX00008386",0.0335,0.0325,0.033,0.528,0.896,1.089,1.0625,1.095
"JAX00008892",0,0,0.772,0.7075,0,0.713,0.0015,0.751
"JAX00009281",1.0625,1.1115,0.024,0.024,0.028,0.023,0.033,1.036
"JAX00009765",0.0025,0.658,0.687,5e-04,0.585,0.702,0.0015,0.682
"JAX00009999",0.0245,1.194,1.054,0.0205,1.389,1.1695,0.0225,1.114
"JAX00010099",0.0255,1.0725,0.019,0.0265,0.028,0.031,0.032,1.094
"JAX00010121",0.0125,0.911,0.013,0.8295,0.687,0.011,0.0105,0.012
"JAX00010652",0.0285,0.923,0.885,0.0245,0.817,0.021,0.02,0.924
"JAX00011963",0.461,0.472,0.608,0.01,0.016,0.4855,0.013,0.585
"JAX00011986",0.0075,0.0055,0.005,0.6145,0.007,0.0065,0.5745,0.006
"JAX00012213",0.0575,0.0665,0.053,1.5515,1.651,0.058,1.679,0.04
"JAX00012996",0.0115,0.0115,0.012,0.99,0.014,0.0135,0.0105,0.018
"JAX00013153",0.966,0.022,0.858,0.022,0.955,0.018,1.0045,0.019
"JAX00013215",0.8835,0.004,0.884,0.0065,0.833,0.893,0.0065,0.935
"JAX00013222",0.035,0.9925,0.035,0.0325,0.033,0.0305,1.006,0.981
"JAX00013660",0,0,0.983,0.003,0.004,1.0065,0.0075,0
"JAX00013760",0.006,1.3435,1.318,0.003,1.537,0.0105,0.002,0.004
"JAX00014050",0.8865,0.002,0.833,0.0165,0.002,0.0105,1.083,0.009
"JAX00014139",1.1845,1.1525,1.088,0.1385,1.292,0.125,1.217,0.022
"JAX00014283",0.9765,0.0845,0.052,1.0465,0.154,0.991,0.059,1.021
"JAX00014486",0.0315,0.0325,0.037,0.7915,0.018,0.939,0.812,0.151
"JAX00014634",0.042,0.041,1.313,1.588,0.039,0.0455,1.543,0.038
"JAX00014777",0.896,0.0255,0.806,0.833,0.054,0.862,0.0425,0.025
"JAX00015693",0.479,0.5245,0.471,0.0075,0.422,0.0335,0.032,0.451
"JAX00015845",0.797,0.797,0.747,0.0145,0.011,0.7715,0.006,0.005
"JAX00016162",1.054,1.0205,1.068,0.0065,0.009,1.0705,0,0.012
"JAX00016193",0,0.001,0,0.5215,0.003,0,0.4715,0.623
"JAX00016790",0.9155,0.847,0.875,0.046,0.668,0.8345,0.0395,0.028
"JAX00017028",1.4655,1.514,1.375,0.044,1.678,1.554,0.043,0.03
"JAX00017325",0.073,1.2025,1.108,0.093,1.176,1.2195,0.081,1.13
"JAX00017865",0.006,0.003,0.004,0.553,0.002,0.0065,0.522,0.514
"JAX00017904",0.053,0.0535,0.049,0.0465,0.012,0.048,1.2395,0.081
"JAX00018215",0.0115,0.0135,0.011,0.0075,0.92,0.0095,0.9665,0.945
"JAX00018360",1.2785,1.3335,1.371,0.024,1.341,1.415,0.0215,1.318
"JAX00018457",0.693,0.736,0.693,0.803,0.603,0.681,0.758,0.003
"JAX00018601",0.5465,0.5565,0.519,0.0095,0.527,0.534,0.01,0.009
"JAX00018803",0.0465,0.0425,0.056,0.9905,0.023,0.055,0.976,0.056
"JAX00018909",0.501,0.481,0.568,0.0115,0.286,0.506,0.009,0.004
"JAX00019040",1.1865,1.2005,1.189,0.072,0.048,1.1935,0.049,0.042
"JAX00019251",0.9435,0.029,0.022,0.0305,0.031,0.9625,0.0285,0.944
"JAX00019474",0.0115,0.0075,0.936,0.028,0.008,0.0115,0.0245,0.01
"JAX00019559",0.857,0.916,0.932,0.001,0.009,0.915,0.008,0.933
"JAX00019918",0.0155,0.0225,0.026,0.7945,0.019,0.0215,0.047,0.026
"JAX00020318",1.2275,1.246,1.2,1.326,1.337,0.0205,0.029,0.024
"JAX00020578",0.0095,0.929,0.008,0.017,0.994,0.9165,0.0125,0.014
"JAX00020722",0.005,0.003,0.009,0.528,0,0.009,0.4225,0.449
"JAX00020932",0.074,0.0665,1.413,1.117,0.07,1.436,1.444,0.047
"JAX00021097",0.7825,0.7965,0.845,0.012,0.707,0.0215,0.019,0.825
"JAX00021363",0.0035,0.002,0,1.076,0,0.0015,0.9855,0.002
"JAX00021386",1.302,1.3265,1.241,0.0455,1.448,1.31,0.048,0.034
"JAX00021549",1.015,0.9705,1.085,0.8145,0.012,0.99,0.0245,0.018
"JAX00021588",0.0025,0.0015,0,0.3745,0.285,0.002,0.0015,0.478
"JAX00022021",1.206,1.1085,0.252,1.118,0.3,0.2745,1.1505,0.257
"JAX00022152",0.0065,0.008,0.64,0.079,0.339,0.0055,0.461,0.004
"JAX00023302",0.0065,0.944,0.008,0.003,0.8,0.004,0.006,0.972
"JAX00023752",0.9635,1.015,1.054,0.0335,0.018,1.051,0.025,0.037
"JAX00023857",1.1825,1.261,0.036,1.335,1.231,0.032,0.0375,0.029
"JAX00025675",1.0925,0.1725,1.056,0.148,1.012,0.1885,0.1355,1.187
"JAX00025729",0.8965,0.02,0.948,0.022,0.181,0.804,0.0195,0.861
"JAX00025963",1.3335,1.4485,1.426,0.049,1.504,1.4755,0.0525,0.057
"JAX00026019",1.31,1.314,1.313,0.081,0.075,1.3655,0.136,1.29
"JAX00026844",0.0255,0.0315,0.878,0.047,0.618,0.8225,0.0365,0.843
"JAX00027124",0.048,0.0435,0.031,1.564,0.048,1.4615,0.042,1.456
"JAX00027462",0.8235,0.8665,0.942,0.9045,0.787,0.934,0.004,0.941
"JAX00028484",0.0205,1.104,1.058,0.023,1.246,1.1205,0.027,1.097
"JAX00028608",0.01,0.0125,0.62,0.8005,0.022,0.664,0.778,0.642
"JAX00028848",0.03,0.0475,0.03,0.0435,1.48,1.343,0.043,1.383
"JAX00029390",1.228,1.3085,1.292,0.0885,1.439,1.3265,0.0755,0.063
"JAX00029542",0.021,0.0225,0.031,1.263,0.013,0.022,1.2215,1.228
"JAX00029577",0.791,0.0025,0.776,0.794,0.755,0.7735,0.8585,0.002
"JAX00029595",1.5985,1.564,1.432,0.022,0.013,0.027,0.0195,0.024
"JAX00031045",0.997,0.004,1.113,0.004,0.009,0.004,1.146,1.147
"JAX00031375",0.701,0.756,0.795,0.0065,0.526,0.783,0.0015,0.002
"JAX00032222",0.9055,0.016,0.014,0.0155,0.911,0.9525,0.014,0.933
"JAX00032420",1.058,1.1125,1.099,0.0725,1.398,1.103,0.106,0.06
"JAX00032431",0.0475,0.0385,0.028,1.215,0.046,0.04,1.208,1.151
"JAX00033054",1.0535,1.091,1.038,0.039,1.107,1.0745,0.036,0.03
"JAX00033129",0.019,1.118,1.144,0.007,0.005,1.149,0.009,0.011
"JAX00033574",0.0245,1.138,1.124,0.016,0.017,0.017,0.0045,0.015
"JAX00034163",0.0105,1.389,1.352,0.0155,1.53,0.0095,0.0135,1.396
"JAX00034763",1.0085,0.0065,0.922,1.0955,1.199,0.934,0.013,0.006
"JAX00035187",0.016,0.029,1.235,1.286,0.016,1.238,1.1725,0.02
"JAX00035480",0.3465,0.0215,0.266,0.0175,0.013,0.2575,0.0225,0.263
"JAX00035691",0.8165,0.015,0.981,0.015,0.579,0.019,0.0245,0.917
"JAX00035800",0.9845,0.02,0.934,0.989,0.926,0.942,0.956,0.018
"JAX00035977",0.029,1.1005,1.164,0.0245,1.02,1.1545,0.032,1.177
"JAX00037184",0.0035,0.012,0.604,0.0065,0.401,0.5495,0.0065,0.589
"JAX00037407",1.0185,0.1465,1.016,0.146,0.163,1.08,0.159,1.143
"JAX00038044",0.0095,0.013,0.029,0.01,0.018,0.013,1.1495,0.024
"JAX00038236",0.0885,1.0975,0.065,1.156,0.154,0.09,1.1,0.065
"JAX00038260",1.071,1.105,0.009,0.0225,0.024,1.144,0.017,0.017
"JAX00038466",0.01,0.018,0.937,0.025,0.028,0.02,0.03,0.025
"JAX00038680",0.6825,0.668,0.62,0.006,0.601,0.6655,0.0065,0.012
"JAX00039223",0.962,0.0055,0.915,0.987,0.002,0.925,0.025,0.023
"JAX00039354",0.9555,0.012,0.974,0.0045,0.891,0.0055,0.005,0
"JAX00039620",0.988,0.131,0.104,0.133,0.201,1.066,0.092,1.035
"JAX00039974",0.015,1.1465,1.087,0.975,0.01,1.1595,1.022,0.019
"JAX00040338",1.121,0.011,1.118,0.017,0.01,1.14,0.0165,0.021
"JAX00040432",0.855,0.1375,0.885,1.0435,0.091,0.963,1.0365,0.126
"JAX00040468",1.12,1.1945,1.095,0,0.002,1.1475,0,1.098
"JAX00040559",1.2005,0.0305,1.169,0.03,1.406,0.027,1.451,0.035
"JAX00041446",1.151,1.119,1.066,0.958,0,0.0035,0.002,1.095
"JAX00041704",0.468,0.6335,0.639,0.6155,0.009,0.4865,0.5295,0.659
"JAX00042288",0.858,0.022,0.014,0.908,0.029,0.022,1.058,0.877
"JAX00042387",0.074,0.066,0.079,1.1535,1.175,0.079,1.1935,0.054
"JAX00042454",0.7535,0.748,0.035,0.408,0.557,0.041,0.452,0.039
"JAX00042590",1.3235,1.307,1.239,1.444,0.012,0.005,0.0165,1.283
"JAX00042767",0.0025,0.0025,0.003,0.5515,0.341,0.0025,0.5435,0.004
"JAX00042892",0.7085,0.681,0.723,0.0015,0.482,0.6835,0.002,0.721
"JAX00042998",1.2495,1.1115,1.13,0.027,1.148,1.1795,0.03,0.022
"JAX00043000",0.0075,0.013,0.01,0.958,0.011,0.0085,0.0105,0.008
"JAX00043209",0.012,0.0205,1.232,0.0145,1.298,1.385,0.0185,1.309
"JAX00043623",0.5915,0.013,0.499,0.0115,0.468,0.0045,0.0105,0.013
"JAX00044888",0.033,0.034,1.189,0.037,1.485,1.298,0.027,0.032
"JAX00045106",0.0225,1.429,0.017,0.4885,0.024,1.4175,1.5165,1.32
"JAX00045144",0.091,1.1855,1.106,0.1045,0.103,1.154,0.0235,0.082
"JAX00045188",0.008,0.0035,0,1.383,0.015,0.0055,1.6025,1.361
"JAX00045378",0.0305,0.036,1.081,0.972,0.018,1.0545,0.989,1.08
"JAX00045475",0.029,0.034,0.388,0.025,0.052,0.3845,0.024,0.026
"JAX00045542",0.07,1.183,1.16,0.071,1.12,1.2205,0.067,1.169
"JAX00046037",0.023,0.0265,1.307,1.2095,0.022,1.3915,1.233,1.135
"JAX00046278",0.0155,0.0255,0.019,1.395,1.4,0.0215,1.386,0.021
"JAX00046578",1.042,1.017,1.039,1.0015,0.029,1.067,0.0245,0.023
"JAX00046934",0.8195,0.0425,0.033,0.0335,0.643,0.8445,0.033,0.032
"JAX00047015",1.289,0.037,1.181,0.041,1.317,1.266,0.034,0.033
"JAX00047271",0.0365,0.0265,0.051,1.209,1.187,1.2725,1.2875,1.181
"JAX00047549",1.035,0.092,1.007,0.032,1.134,0.082,1.322,1.093
"JAX00047934",0.022,0.0255,0.028,0.0285,0.023,0.021,0.576,0.019
"JAX00048317",1.3105,1.328,0.073,0.1,1.29,0.083,0.068,0.074
"JAX00049349",1.196,0.0325,1.086,1.2325,1.228,0.0415,0.0415,1.151
"JAX00049708",1.4155,1.136,1.003,0.904,1.366,1.113,1.312,1.053
"JAX00051629",0.0555,1.36,1.392,0.073,1.607,1.386,0.0655,1.384
"JAX00051711",0.061,1.5075,1.454,0.044,0.058,0.0505,0.0535,0.057
"JAX00052252",1.5015,1.52,1.394,0.124,0.111,0.0815,0.108,1.433
"JAX00052446",1.2055,1.2175,1.172,0.004,0.004,0.0245,0.0025,0.027
"JAX00053189",1.4755,1.5235,1.403,0.052,0.043,1.4895,1.671,0.033
"JAX00053588",1.2535,0.033,1.224,0.0385,1.478,1.276,1.4405,0.023
"JAX00053624",1.011,1.0835,0.331,0.1745,0.006,0.1825,0.189,1.011
"JAX00053712",1.224,0.162,1.234,1.2815,0.257,1.2545,0.111,0.111
"JAX00054182",1.084,0.0155,0.013,1.1425,0.007,0.016,0.0205,0.97
"JAX00054219",0.064,1.708,1.578,0.075,2.055,1.7655,0.081,1.675
"JAX00054491",0,1.1375,0.002,0.007,1.092,0.004,0.006,1.147
"JAX00055182",0.029,0.028,0.033,1.0385,0.842,0.0255,0.0395,1.013
"JAX00055766",0.022,0.79,0.013,0.0175,0.031,0.7685,0.018,0.811
"JAX00055848",0.073,0.713,0.059,0.078,0.624,0.7025,0.0615,0.699
"JAX00055866",0.0175,0.744,0.016,0.014,0.012,0.022,0.0195,0.768
"JAX00055986",1.1975,0.0245,1.189,1.2055,0.02,1.2295,1.245,0.016
"JAX00055987",0.0345,1.111,0.032,0.043,1.042,0.049,0.034,1.159
"JAX00056045",0.005,0.0015,0.893,0.0045,0.016,0.8605,0.825,0.004
"JAX00056104",0.8425,0,0.829,0.003,0,0.8465,0.788,0
"JAX00056366",1.4395,1.341,1.268,0.035,1.499,1.3525,0.028,0.024
"JAX00056386",1.166,1.1355,1.072,0.0115,1.205,1.126,0.012,0.011
"JAX00056488",0.1025,1.378,1.38,0.1115,1.185,0.113,1.358,0.073
"JAX00057008",0.8545,0.841,0.064,0.018,0.076,0.0635,0.908,0.058
"JAX00057045",0.956,0.026,0.033,0.9375,0.026,0.0315,0.934,0.893
"JAX00057512",0.0285,0.0325,0.034,0.8865,0.034,0.0245,1.045,1.025
"JAX00057646",1.3285,1.3505,1.298,0.1015,1.472,1.3975,0.0815,0.086
"JAX00058193",0.9395,0.907,0.924,0.0305,0.843,0.0355,0.0265,0.924
"JAX00058274",1.152,0.0075,1.081,0.0085,1.084,1.104,0.014,1.123
"JAX00058895",0.014,0.0135,0.954,1.061,0.01,0.956,0.01,0.01
"JAX00058906",0,1.0685,1.027,0.59,0,1.0645,0.6285,0.002
"JAX00059163",0.009,0.478,0.002,0.4455,0.33,0.512,0.4445,0.005
"JAX00059250",1.0135,0.971,0.03,0.959,0.011,0.0315,0.023,1.001
"JAX00059577",0.005,0.005,0.602,0.6075,0.579,0.006,0.007,0.601
"JAX00059666",0.047,0.9535,0.997,0.981,0.922,0.0465,0.043,0.038
"JAX00059817",0.007,0.446,0.009,0.3665,0.002,0.0065,0.0065,0.003
"JAX00059875",0.9305,0.047,0.052,0.907,0.044,0.9055,0.0185,0.973
"JAX00059956",0.024,0.0205,0.746,0.016,0.524,0.7085,0.645,0.023
"JAX00059992",0.008,0.0045,1.044,0.8815,0.655,0.004,0.9915,1.042
"JAX00060057",0.009,0.0125,1.045,0.0165,0.973,1.0725,0.013,0.013
"JAX00060124",0.034,0.035,1.023,1.023,0.96,0.9925,1.0675,0.039
"JAX00060148",1.0315,1.0855,0.028,0.012,0.015,0.027,1.1385,1.061
"JAX00060437",0.0325,0.045,1.359,0.0525,1.618,1.488,0.0485,0.024
"JAX00060698",0.0095,1.2475,0.025,1.3275,0.004,0.0255,0.015,1.188
"JAX00061061",5e-04,0.01,0.736,0.0115,0.004,5e-04,0.002,0.714
"JAX00061149",0.6875,0.002,0.003,0.666,0,0.0075,0.6375,0.642
